id,name,category_id,created_at,updated_at
250,"Edmonton Oilers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:42Z
28672,"US Sassuolo Calcio",1,1970-01-01T00:00:00Z,2025-11-24T07:56:41Z
432,"Los Angeles Kings",1,1970-01-01T00:00:00Z,2025-11-24T07:56:43Z
627,"San Jose Sharks",1,2024-07-01T11:26:58Z,2025-11-24T07:56:43Z
495,"Nashville Predators",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
1839,"Como",1,1970-01-01T00:00:00Z,2025-11-24T07:56:42Z
600,"Real Sociedad",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
573,"Pittsburgh Penguins",1,2024-07-01T11:26:58Z,2025-11-24T07:56:45Z
594,"RC Celta de Vigo",1,2024-07-01T11:26:58Z,2025-11-24T07:56:42Z
636,"Seattle Kraken",1,2024-07-01T11:26:58Z,2025-11-24T07:56:44Z
147,"Carolina Hurricanes",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
477,"Minnesota Vikings",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
196,"Colorado Avalanche",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
809,"Winnipeg Jets",1,2024-07-01T11:26:58Z,2025-11-24T07:56:43Z
14084,"St. John's Red Storm Basketball",1,2024-12-23T16:11:27Z,2025-11-24T07:56:42Z
528,"Nottingham Forest FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
105,"Bayer 04 Leverkusen",1,2024-07-01T11:26:58Z,2025-11-24T07:56:43Z
199,"Columbus Blue Jackets",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
13149,"Sporting CP",1,1970-01-01T00:00:00Z,2025-11-24T07:56:43Z
795,"Washington Commanders",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
584,"Paris Saint-Germain FC",1,2024-07-01T11:26:58Z,2025-11-24T07:56:45Z
786,"VfB Stuttgart",1,2024-07-01T11:26:58Z,2025-11-24T07:56:44Z
86,"Atlanta Falcons",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
507,"New Orleans Saints",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
231,"Detroit Red Wings",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
11969,"Benfica",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
1843,"US Lecce",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
297,"Genoa CFC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
82,"Atalanta BC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
12078,"FK Bodø/Glimt",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
17020,"Burnley FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
13247,"Cagliari Calcio",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
537,"Olympique de Marseille",1,2024-07-01T11:26:58Z,2025-11-24T07:56:47Z
478,"Minnesota Wild",1,2024-07-01T11:26:58Z,2025-11-24T07:56:45Z
172,"Cincinnati Bengals",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
643,"Sevilla FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
1865,"Udinese",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
1867,"Parma FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
210,"Dallas Cowboys",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
789,"Villarreal CF",1,2024-07-01T11:26:58Z,2025-11-24T07:56:45Z
29372,"NBA Global Games",1,1970-01-01T00:00:00Z,2025-11-24T07:56:44Z
750,"Torino FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
709,"The Harlem Globetrotters",1,2024-07-01T11:26:58Z,2025-11-24T07:56:47Z
121,"Bologna FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:45Z
300,"Getafe CF",1,2024-07-01T11:26:58Z,2025-11-24T07:56:46Z
597,"Real Betis Balompie",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
18756,"PSV Eindhoven",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
28700,"Real Oviedo",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
28698,"Levante UD",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
279,"FC Porto",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
28551,"South Africa Rugby",1,1970-01-01T00:00:00Z,2025-11-24T07:56:49Z
427,"Los Angeles Angels",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
515,"New York Mets",1,2024-07-01T11:26:58Z,2025-11-24T07:56:45Z
469,"Miami Marlins",1,2024-07-01T11:26:58Z,2025-11-24T07:56:47Z
302,"Girona FC",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
28715,"SK Slavia Prague",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
28531,"Pafos FC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
1861,"RCD Espanyol",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
780,"Valencia CF",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
751,"Toronto Blue Jays",1,1970-01-01T00:00:00Z,2025-11-24T07:56:46Z
294,"FSV Mainz 05",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
29382,"Qarabağ FK",1,1970-01-01T00:00:00Z,2025-11-24T07:56:47Z
278,"FC Köln",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
29400,"FC Midtjylland",1,2025-09-02T16:22:25Z,2025-11-24T07:56:47Z
83,"Athletic Club",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
251,"Eintracht Frankfurt",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
624,"San Francisco 49ers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:51Z
227,"Deportivo Alaves",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
428,"Los Angeles Chargers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:50Z
385,"Kansas City Royals",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
430,"Los Angeles Dodgers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
625,"San Francisco Giants",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
592,"Rayo Vallecano",1,2024-07-01T11:26:58Z,2025-11-24T07:56:49Z
10501,"Quebec Remparts",1,2024-12-04T13:04:44Z,2025-11-24T07:56:49Z
148,"Carolina Panthers",1,1970-01-01T00:00:00Z,2025-11-24T07:56:49Z
75,"Arizona Cardinals",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
687,"Texas Rangers",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
682,"Tampa Bay Rays",1,2024-07-01T11:26:58Z,2025-11-24T07:56:48Z
763,"TSG 1899 Hoffenheim",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
124,"Borussia Mönchengladbach",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
29389,"Kairat Almaty",1,1970-01-01T00:00:00Z,2025-11-24T07:56:50Z
402,"Las Vegas Raiders",1,1970-01-01T00:00:00Z,2025-11-24T07:56:50Z
50,"ACF Fiorentina",1,1970-01-01T00:00:00Z,2025-11-24T07:56:54Z
271,"FC Augsburg",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
288,"Formula 1: Abu Dhabi Grand Prix",1,1970-01-01T00:00:00Z,2025-11-24T07:56:50Z
26420,"Seton Hall Pirates",1,2025-01-02T12:42:48Z,2025-11-24T07:56:49Z
565,"Philadelphia Eagles",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
29546,"Red Hot Hockey",1,2025-10-29T16:12:48Z,2025-11-24T07:56:52Z
28670,"Pisa SC",1,1970-01-01T00:00:00Z,2025-11-24T07:56:51Z
14014,"Boston University Terriers Hockey",1,2024-12-23T16:11:06Z,2025-11-24T07:56:53Z
530,"The Athletics",1,1970-01-01T00:00:00Z,2025-11-24T07:56:48Z
224,"Denver Broncos",1,1970-01-01T00:00:00Z,2025-11-24T07:56:53Z
1863,"FC St. Pauli",1,1970-01-01T00:00:00Z,2025-11-24T07:56:51Z
127,"Boston Red Sox",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
574,"Pittsburgh Pirates",1,2024-07-01T11:26:58Z,2025-11-24T07:56:49Z
1837,"AFC Ajax",1,1970-01-01T00:00:00Z,2025-11-24T07:56:49Z
28533,"FC Copenhagen",1,1970-01-01T00:00:00Z,2025-11-24T07:56:56Z
11043,"Belleville Senators",1,1970-01-01T00:00:00Z,2025-11-24T07:56:49Z
596,"RCD Mallorca",1,2024-07-01T11:26:58Z,2025-11-24T07:56:54Z
532,"OGC Nice",1,2024-07-01T11:26:58Z,2025-11-24T07:56:50Z
5651,"Manitoba Moose",1,1970-01-01T00:00:00Z,2025-11-24T07:56:49Z
13183,"Creighton Bluejays Basketball",1,2024-12-18T09:45:15Z,2025-11-24T07:56:49Z
13150,"Orlando Solar Bears",1,2024-12-18T09:45:05Z,2025-11-24T07:56:53Z
434,"Los Angeles Rams",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
475,"Minnesota Twins",1,2024-07-01T11:26:58Z,2025-11-24T07:56:51Z
12177,"Club Brugge KV",1,1970-01-01T00:00:00Z,2025-11-24T07:56:51Z
