"brand","categories","categoryPath","deliveryCosts","deliveryTime","description","id","imageURL","name","price","productURL","subcategories","descriptionLong","extraInfo","home_team_name","away_team_name","home_shirt_image_link","away_shirt_image_link","has_hotel_option","price_ticket_hotel","country","venue_city","venue_name","date_start","date_string_local_time","fan_info","hotel_mandatory"
"Figure Skating","event tickets","event tickets >  > olympic games milano cortina 2026 > Figure Skating","0.00","0","- Official Category C event ticket - Priority venue access (depending on sport venue) - A grab-and-go snack and soft drink available for pick-up at the venue - Exclusive Olympic Winter Games souvenir","00341db7-31a2-4432-ac91-31206b5bb369_a669c4d4-eec4-4e06-8b30-4a18561f47f9","","Figure Skating – OFSK08 – Pairs Short Program","750.00","https://www.p1travel.com/en/olympics/winter-olympics/figure-skating-ofsk08-pairs-short-program","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Ice Skating Arena (Figure Skating) | Seating plan: Winter Essentials (FSK) - Cat C | Event date: Sunday 15 February 2026 | Event time: 07:45 PM | Optional hotel: yes","","","","","yes","853.00","Italy","Milan","Milano Ice Skating Arena (Figure Skating)","2026-02-15","07:45 PM","","no"
"Figure Skating","event tickets","event tickets >  > olympic games milano cortina 2026 > Figure Skating","0.00","0","- Official Category A event ticket - Access to an exclusive lounge located within the security perimeter of the competition venue before and during* the event - Crafted buffet featuring international & regional winter comfort classics awaits you in the lounge - Complimentary beer, wine, and soft drinks are available in the lounge - Photo opportunities within an Olympic Games themed lounge - On-site staff support *Where possible depending on session schedule","00341db7-31a2-4432-ac91-31206b5bb369_ada3b891-1fb0-4f6c-ba18-809a85125596","","Figure Skating – OFSK08 – Pairs Short Program","2750.00","https://www.p1travel.com/en/olympics/winter-olympics/figure-skating-ofsk08-pairs-short-program","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Ice Skating Arena (Figure Skating) | Seating plan: Premium Lounge (FSK) - Cat A | Event date: Sunday 15 February 2026 | Event time: 07:45 PM | Optional hotel: yes","","","","","yes","2853.00","Italy","Milan","Milano Ice Skating Arena (Figure Skating)","2026-02-15","07:45 PM","","no"
"Figure Skating","event tickets","event tickets >  > olympic games milano cortina 2026 > Figure Skating","0.00","0","- Official Category B event ticket - Access to Clubhouse 26, an hospitality experience in a lounge located in town - A selection of light bites included - Complimentary selection of non-alcoholic drinks, with alcoholic beverages available for purchase - Musical entertainment - Milano Cortina 2026 broadcast coverage - Photo opportunities - Clubhouse 26 access on set parts of the day of your session","00341db7-31a2-4432-ac91-31206b5bb369_b3cf4129-6180-49aa-9269-0663f80fc575","","Figure Skating – OFSK08 – Pairs Short Program","975.00","https://www.p1travel.com/en/olympics/winter-olympics/figure-skating-ofsk08-pairs-short-program","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Ice Skating Arena (Figure Skating) | Seating plan: Clubhouse 26 (FSK) - Cat B | Event date: Sunday 15 February 2026 | Event time: 07:45 PM | Optional hotel: yes","","","","","yes","1078.00","Italy","Milan","Milano Ice Skating Arena (Figure Skating)","2026-02-15","07:45 PM","","no"
"Ice Hockey Men","event tickets","event tickets >  > olympic games milano cortina 2026 > Ice Hockey Men","0.00","0","- Official Category A event ticket - Exclusive access to a hospitality lounge located within the perimeter of the competition venue before and during* the sporting event - Olympic Winter Games themed décor - Light Italian fare & refreshments are available in the lounge - A welcome drink and a selection of non-alcoholic beverages are included - On-site staff support *Where possible depending on session schedule.","005b2b15-0114-4a28-b37b-5c26adce135b_0cddc098-22a3-4813-b503-3d372edd82a2","","Ice Hockey Men – OIHO50 – Men Quarterfinals #2","1150.00","https://www.p1travel.com/en/olympics/winter-olympics/ice-hockey-men-oiho50-men-quarterfinals-2","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Rho Ice Hockey Arena | Seating plan: Classic Lounge (IHO-R) - Cat A | Event date: Wednesday 18 February 2026 | Event time: 02:10 PM | Optional hotel: yes","","","","","yes","1256.00","Italy","Milan","Milano Rho Ice Hockey Arena","2026-02-18","02:10 PM","","no"
"Ice Hockey Men","event tickets","event tickets >  > olympic games milano cortina 2026 > Ice Hockey Men","0.00","0","- Official Category B event ticket - Access to Clubhouse 26, an hospitality experience in a lounge located in town - A selection of light bites included - Complimentary selection of non-alcoholic drinks, with alcoholic beverages available for purchase - Musical entertainment - Milano Cortina 2026 broadcast coverage - Photo opportunities - Clubhouse 26 access on set parts of the day of your session","005b2b15-0114-4a28-b37b-5c26adce135b_0f0c484c-5454-41b4-a17f-6fdd20f66931","","Ice Hockey Men – OIHO50 – Men Quarterfinals #2","575.00","https://www.p1travel.com/en/olympics/winter-olympics/ice-hockey-men-oiho50-men-quarterfinals-2","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Rho Ice Hockey Arena | Seating plan: Clubhouse 26 (IHO-R) - Cat B | Event date: Wednesday 18 February 2026 | Event time: 02:10 PM | Optional hotel: yes","","","","","yes","681.00","Italy","Milan","Milano Rho Ice Hockey Arena","2026-02-18","02:10 PM","","no"
"Curling","event tickets","event tickets >  > olympic games milano cortina 2026 > Curling","0.00","0","- Official Category A event ticket - Exclusive access to a hospitality lounge located within the perimeter of the competition venue before and during* the sporting event - Olympic Winter Games themed décor - Light Italian fare & refreshments are available in the lounge - A welcome drink and a selection of non-alcoholic beverages are included - On-site staff support *Where possible depending on session schedule.","00ddb503-bd12-4250-b5c3-10f80316899d_9427c15f-71d4-4683-b00e-47c8e68f3d04","","Curling – OCUR20 – Women Round Robin #2","339.00","https://www.p1travel.com/en/olympics/winter-olympics/curling-ocur20-women-round-robin-2","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Cortina d'Ampezzo | Venue: Cortina Curling Olympic Stadium | Seating plan: Classic Lounge (CUR) - Cat A | Event date: Thursday 12 February 2026 | Event time: 07:05 PM | Optional hotel: no","","","","","no","","Italy","Cortina d'Ampezzo","Cortina Curling Olympic Stadium","2026-02-12","07:05 PM","","no"
"Short Track Speed Skating","event tickets","event tickets >  > olympic games milano cortina 2026 > Short Track Speed Skating","0.00","0","- Official Category A event ticket - Access to an exclusive lounge located within the security perimeter of the competition venue before and during* the event - Crafted buffet featuring international & regional winter comfort classics awaits you in the lounge - Complimentary beer, wine, and soft drinks are available in the lounge - Photo opportunities within an Olympic Games themed lounge - On-site staff support *Where possible depending on session schedule","0155a5a4-2004-4503-a652-5266525b4a20_632742aa-fcb1-4b8c-b419-7681aff11953","","Short Track – OSTK06 – W 1500 QF/SF/Finals + M 5000 Relay Finals","1850.00","https://www.p1travel.com/en/olympics/winter-olympics/short-track-ostk06-w-1500-qf-sf-finals-m-5000-realy-finals","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Ice Skating Arena (Short Track) | Seating plan: Premium Lounge (STK) - Cat A | Event date: Friday 20 February 2026 | Event time: 08:15 PM | Optional hotel: yes","","","","","yes","1956.00","Italy","Milan","Milano Ice Skating Arena (Short Track)","2026-02-20","08:15 PM","","no"
"Short Track Speed Skating","event tickets","event tickets >  > olympic games milano cortina 2026 > Short Track Speed Skating","0.00","0","- Official Category B event ticket - Access to Clubhouse 26, an hospitality experience in a lounge located in town - A selection of light bites included - Complimentary selection of non-alcoholic drinks, with alcoholic beverages available for purchase - Musical entertainment - Milano Cortina 2026 broadcast coverage - Photo opportunities - Clubhouse 26 access on set parts of the day of your session","0155a5a4-2004-4503-a652-5266525b4a20_e13b5c18-a382-4fd3-a5e3-6546415e4fc3","","Short Track – OSTK06 – W 1500 QF/SF/Finals + M 5000 Relay Finals","750.00","https://www.p1travel.com/en/olympics/winter-olympics/short-track-ostk06-w-1500-qf-sf-finals-m-5000-realy-finals","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Milan | Venue: Milano Ice Skating Arena (Short Track) | Seating plan: Clubhouse 26 (STK) - Cat B | Event date: Friday 20 February 2026 | Event time: 08:15 PM | Optional hotel: yes","","","","","yes","856.00","Italy","Milan","Milano Ice Skating Arena (Short Track)","2026-02-20","08:15 PM","","no"
"Nordic Combined","event tickets","event tickets >  > olympic games milano cortina 2026 > Nordic Combined","0.00","0","- Official Category B event ticket - Priority venue access (depending on sport venue) - A grab-and-go snack and soft drink available for pick-up at the venue - Exclusive Olympic Winter Games souvenir","0196fc6d-d2e7-7a10-9646-0ca5c8e8965f_69265262-61e8-4768-ac6f-355dc7d6e878","","Nordic Combined - ONCB02 - Men Individual NH Segment + 10 km Segment","249.00","https://www.p1travel.com/en/olympics/winter-olympics/nordic-combined-oncb02-men-individual-nh-segment-men-individual-10-km-segment","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Predazzo | Venue: Predazzo Ski Jumping Stadium | Seating plan: Winter Essentials (NCB) - Cat B | Event date: Tuesday 17 February 2026 | Event time: 10:00 AM | Optional hotel: no","","","","","no","","Italy","Predazzo","Predazzo Ski Jumping Stadium","2026-02-17","10:00 AM","","no"
"Nordic Combined","event tickets","event tickets >  > olympic games milano cortina 2026 > Nordic Combined","0.00","0","- Official Category B event ticket - Priority venue access (depending on sport venue) - A grab-and-go snack and soft drink available for pick-up at the venue - Exclusive Olympic Winter Games souvenir","0196fc6e-ba73-7d83-9aaa-0e5327553399_69265262-61e8-4768-ac6f-355dc7d6e878","","Nordic Combined - ONCB03 - Team Sprint LH Segment + 2x7.5km Segment","249.00","https://www.p1travel.com/en/olympics/winter-olympics/nordic-combined-oncb03-team-sprint-lh-segment-team-sprint-2x7-5km-segment","","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: Italy | Event city: Predazzo | Venue: Predazzo Ski Jumping Stadium | Seating plan: Winter Essentials (NCB) - Cat B | Event date: Tuesday 17 February 2026 | Event time: 10:00 AM | Optional hotel: no","","","","","no","","Italy","Predazzo","Predazzo Ski Jumping Stadium","2026-02-17","10:00 AM","","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 4 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_06b08de1-80f3-4fea-9430-f1001cb9d765","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","219.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Shortside - Home section | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","310.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 1 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_197b0f20-e049-4352-8c85-02ef2669c0b0","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","249.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Central Longside - Home section | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","340.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-Padded halfway line seats -The Academy Bar opens 2.5 hours before kick-off -Free drink at half-time (beer, wine, soft) -Access to private cash bar facilities -VIP entrance on the West Stand -Official Matchday Programme -Home section - no away fans allowed -All seats together -Etickets, safe delivery -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_325f45c3-29f2-4656-9106-d5ab106d4f60","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","279.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Academy Bar | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","370.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-Padded halfway line seats, front half of the block -Great Briton Lounge opens 2.5 hours before kick-off -Free drink at half-time (beer, wine, soft) -Access to private cash bar facilities -VIP entrance on the West Stand -Official Matchday Programme -Post-match access to the lounge -Home section - no away fans allowed -All seats together -Etickets, safe delivery -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_65022d2e-bd52-4e8d-a2ea-948734151313","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","349.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Great Briton Lounge | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","440.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-Padded halfway line seats, front 6 rows -Great Briton Lounge opens 2.5 hours before kick-off -Free drink at half-time (beer, wine, soft) -Access to private cash bar facilities -VIP entrance on the West Stand -Official Matchday Programme -Post-match access to the lounge -Home section - no away fans allowed -All seats together -Etickets, safe delivery -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_870e83f7-9e1e-4f4c-8396-6cf81f16e013","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","375.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Great Briton Lounge Premium | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","466.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-Padded halfway line seats -Front 3 rows of the Academy area -The Academy Bar opens 2.5 hours before kick-off -Free drink at half-time (beer, wine, soft) -Access to private cash bar facilities -VIP entrance on the West Stand -Official Matchday Programme -Home section - no away fans allowed -All seats together -Etickets, safe delivery -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_8de077f5-0f41-4ceb-8669-51c197364b77","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","300.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Academy Bar Premium | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","391.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Etickets, safe delivery -Halfway line seats Block 207-209 -Great Briton Lounge opens 2,5hrs before kick-off -All day beers, wines, softs -Two course dinner in the lounge -VIP entrance on the West stand -Official Matchday Programme -Post match access to the lounge","01970bcb-a706-7e61-97e4-d4ca181d1f0e_941190b8-04fe-4137-a2df-0b2e3929aa89","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","650.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Hospitality ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Great Briton Lounge All-Inclusive | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","741.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 2 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_9559189c-7d70-4d1a-867e-01bed02f4bcf","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","239.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Longside - Home section | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","330.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together on the halfway line -Stadium store discount voucher -Official Band 1 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_d1099d66-09d7-4aea-ad00-d2de4987ba79","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","259.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Halfway Line - Home section | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","350.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 3/4 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bcb-a706-7e61-97e4-d4ca181d1f0e_de060021-7a6a-404b-964b-02a63cb9ac21","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Arsenal","229.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-arsenal","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Shortside Corner - Home Section | Event date: Saturday 9 May 2026 | Event time: 03:00 PM | Optional hotel: yes","West Ham United","Arsenal","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Arsenal%2025-26.svg?tr=w-1024","yes","320.00","United Kingdom","London","The London Stadium","2026-05-09","03:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 4 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bd3-9308-7902-b982-e67852ad575a_06b08de1-80f3-4fea-9430-f1001cb9d765","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Aston Villa","59.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-aston-villa","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Shortside - Home section | Event date: Sunday 14 December 2025 | Event time: 02:00 PM | Optional hotel: yes","West Ham United","Aston Villa FC","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Aston%20Villa.svg?tr=w-1024","yes","104.00","United Kingdom","London","The London Stadium","2025-12-14","02:00 PM","West Ham United fans only","no"
"West Ham United","event tickets","event tickets > football > premier league 2025-2026 > West Ham United","0.00","0","-All seats together -Stadium store discount voucher -Official Band 1 tickets -Etickets, safe delivery -No away fans allowed -P1 is the official Partner of WHU FC","01970bd3-9308-7902-b982-e67852ad575a_197b0f20-e049-4352-8c85-02ef2669c0b0","https://cms.p1travel.com/app/uploads/2021/07/West-Ham-London-stadium-scaled.jpg","West Ham United vs Aston Villa","85.00","https://www.p1travel.com/en/football/premier-league/west-ham-united-vs-aston-villa","football","P1 Travel gives you the chance to visit your favorite sports or music event anywhere in the world. We assure you of the best experience possible, thanks to our official partnerships with the largest international football clubs, event venues and sporting tournaments. By offering a wide variety of official tickets and travel packages, we will bring you to the event of your dreams!","Ticket type: Single ticket | Event country: United Kingdom | Event city: London | Venue: The London Stadium | Seating plan: Central Longside - Home section | Event date: Sunday 14 December 2025 | Event time: 02:00 PM | Optional hotel: yes","West Ham United","Aston Villa FC","https://media.p1travel.com/West%20Ham%20United%2025-26.svg?tr=w-1024","https://media.p1travel.com/Aston%20Villa.svg?tr=w-1024","yes","130.00","United Kingdom","London","The London Stadium","2025-12-14","02:00 PM","West Ham United fans only","no"
